0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
4.612754e-08,9.19966218889364e-14,5.663173992682128e-29,1.1015902691858496e-46,2.476320258613597e-66,3.957772495351147e-84,1.8375564677927893e-98,1.8294393553766708e-118,8.483609017912369e-135,3.231530206972495e-147,4.65718651798503e-162,6.7600357178232736e-177,7.247471018094408e-195,3.389287412235098e-210,3.173160591200722e-228,2.0778820936261097e-250,1.888001159114948e-266,7.830351637545989e-287,8.050197285591601e-303,9.059e-320,0.0
3.573329e-05,1.4949365236001585e-07,4.576363201950709e-08,3.5050848686194374e-10,2.0262471110618718e-13,3.0727914119879813e-19,1.7328877378584703e-20,1.253118063750066e-25,1.1801606201327922e-30,9.085055815713918e-30,1.2706044521460416e-34,1.8074529686430308e-37,8.90286148316131e-42,1.8969976566920088e-43,1.3677011275559375e-48,3.743501747074765e-51,1.3372672261016607e-55,1.4727062463052625e-61,1.0565924334698052e-65,9.866044186341275e-69,7.024957790428166e-72
0.0002070117,3.907339369705061e-07,1.1594105480250453e-10,1.930969020810286e-15,2.1234856441647132e-23,1.4324273318541717e-29,1.702752185107854e-34,1.2023993161898985e-40,1.250098788164713e-44,9.186904700696393e-49,2.7752259093304197e-51,2.532807421310094e-56,1.1660171707517241e-60,3.955100366253502e-64,3.754817756879439e-69,1.114745335716875e-74,1.0384524784053303e-77,4.477895736369205e-82,3.7652347518298155e-81,1.5603687338999675e-84,6.072448407132927e-91
0.01175068,0.0034714138490839312,7.24088026502125e-06,4.992168844020571e-10,9.405083783917504e-12,4.223192058108152e-17,5.0495095234495176e-20,1.0006157381399623e-21,3.243314640073241e-24,5.0898940546485255e-24,2.8987707476636097e-26,8.527989789609055e-28,4.292883034583776e-29,3.054089937562692e-32,7.641696210497541e-35,7.899899013694093e-41,1.1188247337249366e-44,9.49971916257936e-49,3.1511417641066336e-53,1.1836434369450283e-53,3.002908281662867e-56
1.167899e-05,0.5428530848591838,0.34723858605101043,0.6061697305333615,0.8306360762194205,0.41004701116589204,0.6434858827354853,0.7575697291082943,0.9543343192757257,0.9067918945087285,0.8131764490897981,0.7354934634245307,0.8044953379631867,0.891619125591906,0.9760619043330685,0.7221552866129313,0.545852848885002,0.6063954181617877,0.6209910852079794,0.4188201597993384,0.38778357832946875
1.376868e-07,2.9160990476115304e-12,3.1758712221612794e-25,8.855083083247037e-39,7.647489464121626e-59,1.947159760357268e-70,4.883034624972736e-83,3.3391197818342397e-103,1.7477675674733602e-111,4.031141955658755e-122,2.218750947835274e-130,3.781013758935921e-142,9.911075766414821e-154,3.5179572182361323e-165,3.1578443484611105e-178,7.668719298485795e-193,4.651670223837158e-202,9.426146193248159e-214,8.804402598341402e-225,1.3733594190340002e-238,3.81428484325234e-255
8.137659e-07,7.670688079238533e-10,2.2786889433769474e-22,4.058356019185678e-30,3.007685708530231e-45,2.5363050836998765e-52,4.94814726677099e-64,5.639213250085292e-79,4.515864341209874e-90,8.288816091246164e-99,7.201558022357475e-106,1.5413532429809673e-114,2.433155177165104e-123,1.4324180626344644e-131,4.8010131895732264e-142,1.9845062662467277e-154,1.1616031336922858e-164,2.9286657169252362e-177,8.646831700338439e-188,2.0771976104241074e-200,1.635144583010357e-213
5.595738e-05,0.007929111861841214,0.0005374653073648226,4.532807483980393e-06,8.028047336204553e-09,1.894098001037915e-09,8.581990812927759e-12,2.543408128259567e-14,1.4709473736573953e-14,8.2103180432953925e-16,6.829912525608258e-17,9.186150135042682e-19,4.863513335656807e-20,7.821221656793923e-22,4.887959370434902e-23,6.812283874257336e-24,6.734833180736257e-24,5.940739909463898e-26,4.154735647868279e-28,1.2630732121844487e-30,6.565467838415566e-33
1.404798e-06,3.5722482681110776e-12,2.158538260460705e-18,7.417317923300657e-32,4.8755730592549064e-48,1.908105654537907e-58,1.201660916553198e-71,7.297059645231188e-83,5.708804523401893e-96,2.0471897719329676e-108,3.1523339386093966e-113,2.5945177288538186e-126,8.996621513456288e-136,2.6990749783810387e-144,2.3806300313594396e-159,6.552657474348373e-173,1.3618361423072727e-185,1.5956938621692355e-200,2.8925971734577273e-209,1.86722358060009e-223,6.9295307546849e-240
8.614469e-07,2.2682790016827825e-10,1.1886881979492795e-23,2.005897257825573e-34,1.906725979908113e-50,3.582515612747631e-60,2.2854685030279014e-71,2.7326063554644232e-89,1.2164161237981012e-98,1.618620900118961e-106,2.9078654319504634e-115,4.97111950867562e-126,1.8871044640897547e-137,7.986593704004478e-149,1.0200709289847804e-161,3.4604306829405317e-174,9.076632408032003e-180,3.4649442909511234e-192,2.4240964869967204e-201,1.5791013984559007e-214,1.3895150792381987e-230
